"ID_TRAMO","UTM_IX","UTM_IY","UTM_FX","UTM_FY","UTM_IX_OK","UTM_IY_OK","UTM_FX_OK","UTM_FY_OK"
"8666",432540.82700000,4581363.53100000,432546.06700000,4581374.43500000,432445.82700000,4581158.53100000,432451.06700000,4581169.43500000
"8667",432290.40500000,4581275.38200000,432296.40900000,4581277.21200000,432195.40500000,4581070.38200000,432201.40900000,4581072.21200000
"8668",432300.02000000,4581266.09000000,432292.06000000,4581263.65000000,432205.02000000,4581061.09000000,432197.06000000,4581058.65000000
"8670",432474.24000000,4581316.12000000,432496.22000000,4581322.36000000,432379.24000000,4581111.12000000,432401.22000000,4581117.36000000
"8671",432226.10000000,4581708.20000000,432252.34000000,4581715.84000000,432131.10000000,4581503.20000000,432157.34000000,4581510.84000000
"8672",432105.56000000,4581673.32000000,432119.67000000,4581677.42000000,432010.56000000,4581468.32000000,432024.67000000,4581472.42000000
"8673",432318.33800000,4581316.93600000,432313.83200000,4581332.70600000,432223.33800000,4581111.93600000,432218.83200000,4581127.70600000
"8674",432402.51000000,4581616.30000000,432405.44000000,4581606.05000000,432307.51000000,4581411.30000000,432310.44000000,4581401.05000000
"8675",432257.95000000,4581804.26300000,432291.97100000,4581824.61100000,432162.95000000,4581599.26300000,432196.97100000,4581619.61100000
"8676",432686.71700000,4582076.67600000,432698.58000000,4582082.93000000,432591.71700000,4581871.67600000,432603.58000000,4581877.93000000
"8677",432323.45000000,4580971.24000000,432342.26000000,4580976.64000000,432228.45000000,4580766.24000000,432247.26000000,4580771.64000000
"8679",432337.38000000,4581676.56000000,432322.98000000,4581672.44000000,432242.38000000,4581471.56000000,432227.98000000,4581467.44000000
"8680",432133.89600000,4581515.90500000,432123.06300000,4581554.23800000,432038.89600000,4581310.90500000,432028.06300000,4581349.23800000
"8681",432154.10500000,4581447.32100000,432142.00000000,4581488.85300000,432059.10500000,4581242.32100000,432047.00000000,4581283.85300000
"8682",432165.31300000,4581406.23800000,432169.39600000,4581393.48800000,432070.31300000,4581201.23800000,432074.39600000,4581188.48800000
"8685",432218.06600000,4581223.88200000,432221.04700000,4581214.06500000,432123.06600000,4581018.88200000,432126.04700000,4581009.06500000
"8687",432250.71700000,4581104.60200000,432249.10400000,4581116.40500000,432155.71700000,4580899.60200000,432154.10400000,4580911.40500000
"8688",432268.64600000,4581042.07200000,432270.64600000,4581032.23800000,432173.64600000,4580837.07200000,432175.64600000,4580827.23800000
"8689",432275.89600000,4580973.82200000,432275.97900000,4580983.73800000,432180.89600000,4580768.82200000,432180.97900000,4580778.73800000
"8691",432784.39000000,4582163.54000000,432800.48000000,4582179.21000000,432689.39000000,4581958.54000000,432705.48000000,4581974.21000000
"8692",432190.15000000,4581433.70000000,432183.07000000,4581458.52000000,432095.15000000,4581228.70000000,432088.07000000,4581253.52000000
"8693",432191.75000000,4581428.05000000,432194.21000000,4581419.41000000,432096.75000000,4581223.05000000,432099.21000000,4581214.41000000
"8694",432796.48100000,4581901.83100000,432803.81400000,4581916.74700000,432701.48100000,4581696.83100000,432708.81400000,4581711.74700000
"8695",432876.47900000,4582004.78000000,432859.97900000,4581989.15500000,432781.47900000,4581799.78000000,432764.97900000,4581784.15500000
"8697",432854.45000000,4582178.53000000,432872.86000000,4582159.54000000,432759.45000000,4581973.53000000,432777.86000000,4581954.54000000
"8699",432340.32600000,4581380.45500000,432357.21300000,4581385.27300000,432245.32600000,4581175.45500000,432262.21300000,4581180.27300000
"8700",432202.22900000,4581509.65500000,432207.97900000,4581488.90500000,432107.22900000,4581304.65500000,432112.97900000,4581283.90500000
"8701",431887.18000000,4581950.42000000,431899.33000000,4581939.92000000,431792.18000000,4581745.42000000,431804.33000000,4581734.92000000
"8702",431749.05000000,4581977.93000000,431763.98000000,4582009.10000000,431654.05000000,4581772.93000000,431668.98000000,4581804.10000000
"8703",431777.53000000,4581997.17000000,431764.99000000,4581970.94000000,431682.53000000,4581792.17000000,431669.99000000,4581765.94000000
"8704",432126.17400000,4582018.40800000,432134.55000000,4582016.12000000,432031.17400000,4581813.40800000,432039.55000000,4581811.12000000
"8705",432537.81000000,4582188.38500000,432535.75600000,4582184.53200000,432442.81000000,4581983.38500000,432440.75600000,4581979.53200000
"8706",431702.72900000,4582223.40500000,431706.47900000,4582214.53000000,431607.72900000,4582018.40500000,431611.47900000,4582009.53000000
"8707",431646.32000000,4582538.51400000,431647.35600000,4582502.16400000,431551.32000000,4582333.51400000,431552.35600000,4582297.16400000
"8708",431657.95100000,4582397.04500000,431662.62000000,4582377.96200000,431562.95100000,4582192.04500000,431567.62000000,4582172.96200000
"8709",431715.13200000,4582199.00400000,431734.67700000,4582167.46600000,431620.13200000,4581994.00400000,431639.67700000,4581962.46600000
"8710",431917.93200000,4581971.54900000,431895.01000000,4581994.54100000,431822.93200000,4581766.54900000,431800.01000000,4581789.54100000
"8711",431869.75500000,4582141.07500000,431834.15300000,4582177.06000000,431774.75500000,4581936.07500000,431739.15300000,4581972.06000000
"8713",431698.74000000,4581716.48000000,431709.39000000,4581734.74000000,431603.74000000,4581511.48000000,431614.39000000,4581529.74000000
"8714",431403.67800000,4582244.08000000,431399.26800000,4582237.41700000,431308.67800000,4582039.08000000,431304.26800000,4582032.41700000
"8715",431751.44300000,4581644.34100000,431735.59200000,4581620.10800000,431656.44300000,4581439.34100000,431640.59200000,4581415.10800000
"8716",431788.26300000,4581701.88200000,431770.79100000,4581674.51300000,431693.26300000,4581496.88200000,431675.79100000,4581469.51300000
"8717",431613.69100000,4581746.48300000,431623.59100000,4581763.52800000,431518.69100000,4581541.48300000,431528.59100000,4581558.52800000
"8718",431370.12400000,4582557.55000000,431384.56400000,4582541.94700000,431275.12400000,4582352.55000000,431289.56400000,4582336.94700000
"8719",431336.17200000,4582572.41200000,431353.63000000,4582554.78200000,431241.17200000,4582367.41200000,431258.63000000,4582349.78200000
"8720",431592.92000000,4581806.38000000,431611.55000000,4581785.86000000,431497.92000000,4581601.38000000,431516.55000000,4581580.86000000
"8721",431080.54600000,4582359.81200000,431101.52400000,4582380.03200000,430985.54600000,4582154.81200000,431006.52400000,4582175.03200000
"8723",431786.18000000,4581843.36000000,431771.04000000,4581819.65000000,431691.18000000,4581638.36000000,431676.04000000,4581614.65000000
"8724",431789.29000000,4581847.98000000,431817.00000000,4581830.75000000,431694.29000000,4581642.98000000,431722.00000000,4581625.75000000
"8725",431835.81300000,4582267.15500000,431811.06300000,4582292.73800000,431740.81300000,4582062.15500000,431716.06300000,4582087.73800000
"8727",431593.43300000,4582090.06900000,431609.22400000,4582106.34500000,431498.43300000,4581885.06900000,431514.22400000,4581901.34500000
"8728",431743.05800000,4582249.08800000,431763.11200000,4582269.74000000,431648.05800000,4582044.08800000,431668.11200000,4582064.74000000
"8729",431334.88000000,4582284.57000000,431360.45000000,4582315.97000000,431239.88000000,4582079.57000000,431265.45000000,4582110.97000000
"8730",431485.56300000,4582859.73800000,431495.06300000,4582868.90500000,431390.56300000,4582654.73800000,431400.06300000,4582663.90500000
"8731",431538.81000000,4582930.25000000,431538.71000000,4582918.37000000,431443.81000000,4582725.25000000,431443.71000000,4582713.37000000
"8732",431633.93000000,4583026.01000000,431633.69000000,4583005.71000000,431538.93000000,4582821.01000000,431538.69000000,4582800.71000000
"8733",431826.70400000,4583209.23500000,431826.63700000,4583196.45900000,431731.70400000,4583004.23500000,431731.63700000,4582991.45900000
"8734",431398.22900000,4582959.15500000,431392.60400000,4582954.90500000,431303.22900000,4582754.15500000,431297.60400000,4582749.90500000
"8735",431483.79000000,4583011.24000000,431483.92000000,4583024.23000000,431388.79000000,4582806.24000000,431388.92000000,4582819.23000000
"8736",431553.59000000,4583092.31000000,431566.57000000,4583092.04000000,431458.59000000,4582887.31000000,431471.57000000,4582887.04000000
"8737",431579.03000000,4583116.18000000,431578.96000000,4583104.29000000,431484.03000000,4582911.18000000,431483.96000000,4582899.29000000
"8738",431637.08000000,4583211.16000000,431636.78000000,4583198.30000000,431542.08000000,4583006.16000000,431541.78000000,4582993.30000000
"8739",431829.22900000,4583367.28000000,431839.22900000,4583367.28000000,431734.22900000,4583162.28000000,431744.22900000,4583162.28000000
"8740",431880.85400000,4583416.90500000,431888.10400000,4583423.90500000,431785.85400000,4583211.90500000,431793.10400000,4583218.90500000
"8741",431960.85000000,4583472.95000000,431940.97000000,4583473.19000000,431865.85000000,4583267.95000000,431845.97000000,4583268.19000000
"8742",431771.23000000,4583291.87000000,431771.37000000,4583304.72000000,431676.23000000,4583086.87000000,431676.37000000,4583099.72000000
"8743",432012.73300000,4583827.64400000,432077.40700000,4583891.12800000,431917.73300000,4583622.64400000,431982.40700000,4583686.12800000
"8744",431365.51000000,4583133.49000000,431381.25000000,4583133.46000000,431270.51000000,4582928.49000000,431286.25000000,4582928.46000000
"8745",431552.04000000,4583281.96000000,431571.49000000,4583281.61000000,431457.04000000,4583076.96000000,431476.49000000,4583076.61000000
"8746",431484.97000000,4583213.22000000,431484.55000000,4583202.15000000,431389.97000000,4583008.22000000,431389.55000000,4582997.15000000
"8747",431638.13000000,4583385.43000000,431638.45000000,4583404.71000000,431543.13000000,4583180.43000000,431543.45000000,4583199.71000000
"8748",431675.69000000,4583404.75000000,431675.58000000,4583385.18000000,431580.69000000,4583199.75000000,431580.58000000,4583180.18000000
"8749",431729.06000000,4583457.86000000,431740.71000000,4583469.32000000,431634.06000000,4583252.86000000,431645.71000000,4583264.32000000
"8750",431912.60400000,4583892.78000000,431888.72900000,4583917.15500000,431817.60400000,4583687.78000000,431793.72900000,4583712.15500000
"8751",431183.94000000,4583527.43000000,431184.06000000,4583505.00000000,431088.94000000,4583322.43000000,431089.06000000,4583300.00000000
"8752",431255.31000000,4583628.91000000,431266.24000000,4583628.43000000,431160.31000000,4583423.91000000,431171.24000000,4583423.43000000
"8753",431256.50500000,4583591.15700000,431266.24900000,4583590.91800000,431161.50500000,4583386.15700000,431171.24900000,4583385.91800000
"8754",431375.59000000,4583710.85000000,431375.38000000,4583695.44000000,431280.59000000,4583505.85000000,431280.38000000,4583490.44000000
"8755",431876.41000000,4583788.05000000,431876.34000000,4583771.38000000,431781.41000000,4583583.05000000,431781.34000000,4583566.38000000
"8756",431814.23000000,4583803.05000000,431814.03000000,4583793.27000000,431719.23000000,4583598.05000000,431719.03000000,4583588.27000000
"8757",431756.46000000,4583665.58000000,431772.70000000,4583665.54000000,431661.46000000,4583460.58000000,431677.70000000,4583460.54000000
"8759",431277.71000000,4583425.28000000,431277.49000000,4583414.30000000,431182.71000000,4583220.28000000,431182.49000000,4583209.30000000
"8760",431440.28000000,4583587.70000000,431460.71000000,4583587.29000000,431345.28000000,4583382.70000000,431365.71000000,4583382.29000000
"8761",431519.06600000,4583665.50200000,431535.30800000,4583681.36700000,431424.06600000,4583460.50200000,431440.30800000,4583476.36700000
"8762",431457.53000000,4583625.17000000,431444.89000000,4583625.38000000,431362.53000000,4583420.17000000,431349.89000000,4583420.38000000
"8763",431582.10400000,4583726.53000000,431576.97900000,4583721.15500000,431487.10400000,4583521.53000000,431481.97900000,4583516.15500000
"8764",431748.57000000,4583869.81000000,431735.15000000,4583870.14000000,431653.57000000,4583664.81000000,431640.15000000,4583665.14000000
"8765",431660.47000000,4583820.53000000,431644.28000000,4583820.68000000,431565.47000000,4583615.53000000,431549.28000000,4583615.68000000
"8766",431837.83000000,4583599.83000000,431837.62000000,4583583.34000000,431742.83000000,4583394.83000000,431742.62000000,4583378.34000000
"8767",431807.81000000,4583416.05000000,431822.56000000,4583400.83000000,431712.81000000,4583211.05000000,431727.56000000,4583195.83000000
"8768",431810.47900000,4583445.03000000,431816.10400000,4583438.65500000,431715.47900000,4583240.03000000,431721.10400000,4583233.65500000
"8769",431700.50400000,4583526.76000000,431680.20800000,4583547.74000000,431605.50400000,4583321.76000000,431585.20800000,4583342.74000000
"8770",431702.28500000,4583555.59800000,431722.83000000,4583534.80300000,431607.28500000,4583350.59800000,431627.83000000,4583329.80300000
"8771",431502.73000000,4583760.12000000,431493.18000000,4583769.95000000,431407.73000000,4583555.12000000,431398.18000000,4583564.95000000
"8772",431292.48400000,4583393.09600000,431306.37600000,4583378.90600000,431197.48400000,4583188.09600000,431211.37600000,4583173.90600000
"8773",431252.76100000,4583439.25000000,431261.85300000,4583439.07800000,431157.76100000,4583234.25000000,431166.85300000,4583234.07800000
"8774",431074.47000000,4583633.70000000,431063.75000000,4583633.83000000,430979.47000000,4583428.70000000,430968.75000000,4583428.83000000
"8775",432053.69000000,4583585.01000000,432076.64200000,4583561.78400000,431958.69000000,4583380.01000000,431981.64200000,4583356.78400000
"8776",431721.34100000,4583323.34500000,431724.65400000,4583319.97100000,431626.34100000,4583118.34500000,431629.65400000,4583114.97100000
"8777",431721.82400000,4583130.67600000,431712.52800000,4583140.25300000,431626.82400000,4582925.67600000,431617.52800000,4582935.25300000
"8778",431336.13000000,4583523.70000000,431335.85000000,4583507.25000000,431241.13000000,4583318.70000000,431240.85000000,4583302.25000000
"8779",431639.83000000,4584194.11000000,431649.02000000,4584193.87000000,431544.83000000,4583989.11000000,431554.02000000,4583988.87000000
"8780",431349.91000000,4583910.35000000,431349.63000000,4583897.36000000,431254.91000000,4583705.35000000,431254.63000000,4583692.36000000
"8781",431456.56000000,4584015.04000000,431469.45000000,4584014.92000000,431361.56000000,4583810.04000000,431374.45000000,4583809.92000000
"8782",431720.39000000,4584262.04000000,431720.56000000,4584272.78000000,431625.39000000,4584057.04000000,431625.56000000,4584067.78000000
"8783",431759.52000000,4584274.45000000,431758.11000000,4584254.96000000,431664.52000000,4584069.45000000,431663.11000000,4584049.96000000
"8784",431768.32900000,4584244.15500000,431779.52800000,4584232.66900000,431673.32900000,4584039.15500000,431684.52800000,4584027.66900000
"8785",431639.98000000,4584380.09000000,431653.22000000,4584380.02000000,431544.98000000,4584175.09000000,431558.22000000,4584175.02000000
"8786",431480.23900000,4584553.26400000,431480.23900000,4584544.86800000,431385.23900000,4584348.26400000,431385.23900000,4584339.86800000
"8788",431252.51000000,4584754.44000000,431252.26000000,4584738.28000000,431157.51000000,4584549.44000000,431157.26000000,4584533.28000000
"8789",431172.94000000,4584822.33000000,431182.68000000,4584822.00000000,431077.94000000,4584617.33000000,431087.68000000,4584617.00000000
"8790",431572.65000000,4584463.04000000,431572.35000000,4584451.40000000,431477.65000000,4584258.04000000,431477.35000000,4584246.40000000
"8791",431628.79000000,4584365.97000000,431628.42000000,4584356.14000000,431533.79000000,4584160.97000000,431533.42000000,4584151.14000000
"8792",431472.27000000,4584532.43000000,431457.78000000,4584533.08000000,431377.27000000,4584327.43000000,431362.78000000,4584328.08000000
"8793",431361.08000000,4584629.91000000,431369.63000000,4584629.90000000,431266.08000000,4584424.91000000,431274.63000000,4584424.90000000
"8795",431721.79500000,4584084.84800000,431721.45600000,4584071.60200000,431626.79500000,4583879.84800000,431626.45600000,4583866.60200000
"8796",431480.10400000,4584371.53000000,431480.10400000,4584360.03000000,431385.10400000,4584166.53000000,431385.10400000,4584155.03000000
"8797",431362.47900000,4584482.78000000,431370.35400000,4584482.65500000,431267.47900000,4584277.78000000,431275.35400000,4584277.65500000
"8798",431293.77000000,4584566.29000000,431293.39000000,4584553.80000000,431198.77000000,4584361.29000000,431198.39000000,4584348.80000000
"8799",431573.11000000,4584274.09000000,431573.12000000,4584261.29000000,431478.11000000,4584069.09000000,431478.12000000,4584056.29000000
"8800",431173.71000000,4584675.88000000,431186.72000000,4584675.55000000,431078.71000000,4584470.88000000,431091.72000000,4584470.55000000
"8801",431926.14000000,4584244.77000000,431937.68000000,4584244.61000000,431831.14000000,4584039.77000000,431842.68000000,4584039.61000000
"8802",431911.69800000,4584269.83300000,431911.69800000,4584263.27100000,431816.69800000,4584064.83300000,431816.69800000,4584058.27100000
"8803",430920.49000000,4584393.01000000,430920.31000000,4584381.47000000,430825.49000000,4584188.01000000,430825.31000000,4584176.47000000
"8804",430800.58000000,4584298.29000000,430786.84000000,4584298.40000000,430705.58000000,4584093.29000000,430691.84000000,4584093.40000000
"8805",430885.68000000,4584391.94000000,430885.58000000,4584382.08000000,430790.68000000,4584186.94000000,430790.58000000,4584177.08000000
"8806",430997.58000000,4584457.11000000,430984.52000000,4584457.39000000,430902.58000000,4584252.11000000,430889.52000000,4584252.39000000
"8807",431160.10400000,4584663.65500000,431160.72900000,4584649.78000000,431065.10400000,4584458.65500000,431065.72900000,4584444.78000000
"8808",431105.53000000,4584573.27000000,431105.27000000,4584559.09000000,431010.53000000,4584368.27000000,431010.27000000,4584354.09000000
"8809",431801.64000000,4583978.50000000,431773.64000000,4583969.64000000,431706.64000000,4583773.50000000,431678.64000000,4583764.64000000
"8810",431737.92000000,4584436.32000000,431751.16000000,4584436.16000000,431642.92000000,4584231.32000000,431656.16000000,4584231.16000000
"8811",431565.17000000,4584624.78000000,431548.67000000,4584625.13000000,431470.17000000,4584419.78000000,431453.67000000,4584420.13000000
"8812",431457.11000000,4584724.41000000,431468.72000000,4584724.09000000,431362.11000000,4584519.41000000,431373.72000000,4584519.09000000
"8813",431642.60000000,4584532.51000000,431657.21000000,4584532.29000000,431547.60000000,4584327.51000000,431562.21000000,4584327.29000000
"8814",431787.60400000,4584324.28000000,431758.72900000,4584295.78000000,431692.60400000,4584119.28000000,431663.72900000,4584090.78000000
"8815",431526.79000000,4583942.04200000,431536.34500000,4583943.11600000,431431.79000000,4583737.04200000,431441.34500000,4583738.11600000
"8816",430987.80000000,4584678.65000000,431000.60000000,4584678.32000000,430892.80000000,4584473.65000000,430905.60000000,4584473.32000000
"8817",431107.10000000,4584759.10000000,431106.85000000,4584746.04000000,431012.10000000,4584554.10000000,431011.85000000,4584541.04000000
"8818",430805.04000000,4584465.44000000,430816.77000000,4584465.34000000,430710.04000000,4584260.44000000,430721.77000000,4584260.34000000
"8819",430719.95000000,4584379.12000000,430720.31000000,4584366.07000000,430624.95000000,4584174.12000000,430625.31000000,4584161.07000000
"8820",431106.93000000,4584371.35000000,431107.09000000,4584385.16000000,431011.93000000,4584166.35000000,431012.09000000,4584180.16000000
"8821",430918.85400000,4584574.15500000,430919.10400000,4584562.40500000,430823.85400000,4584369.15500000,430824.10400000,4584357.40500000
"8822",430800.56000000,4584645.07000000,430813.52000000,4584644.94000000,430705.56000000,4584440.07000000,430718.52000000,4584439.94000000
"8823",431268.70000000,4584167.38000000,431281.13000000,4584167.28000000,431173.70000000,4583962.38000000,431186.13000000,4583962.28000000
"8824",431389.49000000,4584096.36000000,431389.24000000,4584083.37000000,431294.49000000,4583891.36000000,431294.24000000,4583878.37000000
"8825",430902.23800000,4583797.50600000,430902.56600000,4583810.35400000,430807.23800000,4583592.50600000,430807.56600000,4583605.35400000
"8826",431070.42000000,4583971.03000000,431083.21000000,4583970.92000000,430975.42000000,4583766.03000000,430988.21000000,4583765.92000000
"8827",430999.49800000,4583904.88600000,430998.90500000,4583891.81200000,430904.49800000,4583699.88600000,430903.90500000,4583686.81200000
"8828",431202.92000000,4584103.15000000,431203.17000000,4584088.56000000,431107.92000000,4583898.15000000,431108.17000000,4583883.56000000
"8829",431349.37000000,4584282.91000000,431349.24000000,4584271.51000000,431254.37000000,4584077.91000000,431254.24000000,4584066.51000000
"8830",431303.95900000,4583976.54700000,431313.85200000,4583966.31200000,431208.95900000,4583771.54700000,431218.85200000,4583761.31200000
"8830",431302.73800000,4583965.74300000,431314.08200000,4583953.95600000,431207.73800000,4583760.74300000,431219.08200000,4583748.95600000
"8831",431270.12000000,4584019.60000000,431283.18000000,4584019.47000000,431175.12000000,4583814.60000000,431188.18000000,4583814.47000000
"8832",430993.04000000,4584270.45000000,431004.01000000,4584270.07000000,430898.04000000,4584065.45000000,430909.01000000,4584065.07000000
"8833",430830.12900000,4584483.09100000,430829.74300000,4584474.81200000,430735.12900000,4584278.09100000,430734.74300000,4584269.81200000
"8834",430737.16000000,4584583.58000000,430737.07000000,4584570.53000000,430642.16000000,4584378.58000000,430642.07000000,4584365.53000000
"8835",431003.15000000,4584308.18000000,430989.55000000,4584308.49000000,430908.15000000,4584103.18000000,430894.55000000,4584103.49000000
"8836",431266.92000000,4583980.82000000,431286.66300000,4583980.62400000,431171.92000000,4583775.82000000,431191.66300000,4583775.62400000
"8837",430971.95000000,4583726.23000000,430981.90000000,4583726.22000000,430876.95000000,4583521.23000000,430886.90000000,4583521.22000000
"8838",430784.53000000,4583918.88000000,430797.56000000,4583919.11000000,430689.53000000,4583713.88000000,430702.56000000,4583714.11000000
"8839",431642.42400000,4583967.96000000,431655.53500000,4583967.14600000,431547.42400000,4583762.96000000,431560.53500000,4583762.14600000
"8840",431456.40000000,4584198.62000000,431466.00000000,4584198.25000000,431361.40000000,4583993.62000000,431371.00000000,4583993.25000000
"8841",431457.36000000,4584161.67000000,431466.18000000,4584161.54000000,431362.36000000,4583956.67000000,431371.18000000,4583956.54000000
"8842",431361.24700000,4584256.60200000,431374.05600000,4584256.34100000,431266.24700000,4584051.60200000,431279.05600000,4584051.34100000
"8843",431256.17000000,4584376.59000000,431256.05000000,4584367.60000000,431161.17000000,4584171.59000000,431161.05000000,4584162.60000000
"8844",431173.90000000,4584488.87000000,431186.24000000,4584488.78000000,431078.90000000,4584283.87000000,431091.24000000,4584283.78000000
"8845",431534.84000000,4584094.84000000,431533.69000000,4584075.41000000,431439.84000000,4583889.84000000,431438.69000000,4583870.41000000
"8846",431293.80000000,4584375.74000000,431293.23000000,4584367.47000000,431198.80000000,4584170.74000000,431198.23000000,4584162.47000000
"8847",430964.22000000,4584092.93000000,430964.01000000,4584076.40000000,430869.22000000,4583887.93000000,430869.01000000,4583871.40000000
"8848",430976.10000000,4584103.88000000,430987.59000000,4584103.97000000,430881.10000000,4583898.88000000,430892.59000000,4583898.97000000
"8849",430868.31000000,4583998.10000000,430868.17000000,4583983.13000000,430773.31000000,4583793.10000000,430773.17000000,4583778.13000000
"8850",431188.01800000,4584301.33500000,431178.42600000,4584301.45400000,431093.01800000,4584096.33500000,431083.42600000,4584096.45400000
"8851",431361.06000000,4584443.79000000,431373.40000000,4584443.80000000,431266.06000000,4584238.79000000,431278.40000000,4584238.80000000
"8852",430907.34000000,4584187.39000000,430907.07000000,4584174.99000000,430812.34000000,4583982.39000000,430812.07000000,4583969.99000000
"8853",431041.68900000,4584341.76100000,431051.76100000,4584351.93400000,430946.68900000,4584136.76100000,430956.76100000,4584146.93400000
"8854",431430.15000000,4584703.43000000,431419.31000000,4584692.88000000,431335.15000000,4584498.43000000,431324.31000000,4584487.88000000
"8855",431254.49700000,4584563.51200000,431254.62800000,4584552.63300000,431159.49700000,4584358.51200000,431159.62800000,4584347.63300000
"8856",431105.58000000,4584943.63000000,431105.45000000,4584927.22000000,431010.58000000,4584738.63000000,431010.45000000,4584722.22000000
"8857",431184.19500000,4585011.20500000,431174.63600000,4585011.64800000,431089.19500000,4584806.20500000,431079.63600000,4584806.64800000
"8858",431090.70500000,4583967.53100000,431106.46600000,4583951.47400000,430995.70500000,4583762.53100000,431011.46600000,4583746.47400000
"8859",431150.12000000,4583902.04000000,431149.99000000,4583889.10000000,431055.12000000,4583697.04000000,431054.99000000,4583684.10000000
"8860",431071.97200000,4583783.62700000,431076.05200000,4583783.55500000,430976.97200000,4583578.62700000,430981.05200000,4583578.55500000
"8861",430962.10400000,4583900.90500000,430961.97900000,4583890.40500000,430867.10400000,4583695.90500000,430866.97900000,4583685.40500000
"8862",431102.25200000,4583779.30600000,431109.66000000,4583772.05900000,431007.25200000,4583574.30600000,431014.66000000,4583567.05900000
"8863",431079.49000000,4583820.24000000,431066.65000000,4583820.23000000,430984.49000000,4583615.24000000,430971.65000000,4583615.23000000
"8864",431240.12300000,4583974.18900000,431251.26600000,4583984.25100000,431145.12300000,4583769.18900000,431156.26600000,4583779.25100000
"8868",431437.73500000,4582798.53400000,431444.79500000,4582805.14800000,431342.73500000,4582593.53400000,431349.79500000,4582600.14800000
