STREET_ID,STREET_TYPE,OFFICIAL_NAME,SHORT_NAME
102,C,Carrer dels Llebrencs,Llebrencs
180,C,Carrer A Zona Franca,A
204,C,Carrer de Guerau de Liost,Guerau de Liost
306,C,Carrer de l'Abat Odó,Abat Odó
408,C,Carrer de l'Abat Samsó,Abat Samsó
500,C,Carrer de l'Abat Safont,Abat Safont
601,C,Carrer de l'Abadessa Olzet,Abadessa Olzet
703,C,Carrer dels Abaixadors,Abaixadors
805,C,Carrer d'Abd el Kader,Abd el Kader
907,C,Carrer d'Abdó Terradas,Abdó Terradas
1003,C,Carrer d'Abella,Abella
1105,C,Carrer de Manuel Ballbé,Manuel Ballbé
1309,C,Carrer de les Acàcies,Acàcies
1400,Pl,Plaça de l'Acadèmia,Pl Acadèmia
1502,C,Carrer de la Sèquia,Sèquia
1604,C,Carrer de la Sèquia Comtal,Sèquia Comtal
1706,C,Carrer de la Sèquia Madriguera,Sèquia Madriguera
1808,C,Carrer de l'Acer,Acer
1900,C,Carrer de l'Actor Morano,Actor Morano
2006,C,Carrer de l'Actriu Tubau,Actriu Tubau
2050,C,Carrer d'Adolf Florensa,Adolf Florensa
2200,C,Carrer d'Adrall,Adrall
2210,Av,Avinguda d'Adrià Gual,Av Adrià Gual
2403,C,Carrer d'Adrià Margarit,Adrià Margarit
2505,Pl,Plaça d'Adrià,Pl Adrià
2607,C,Carrer de la Duana,Duana
2709,C,Carrer dels Afores,Afores
2800,C,Carrer d'Àger,Àger
2902,C,Carrer de n'Aglà,Aglà
3009,C,Carrer d'Agramunt,Agramunt
3100,C,Carrer de l'Agregació,Agregació
3202,C,Carrer d'Anna M Martínez Sagi,Anna Martínez Sagi
3406,C,Carrer de l'Agricultura,Agricultura
3508,Ctra,Carretera de les Aigües,Ctra Aigües
3552,Camí,Camí de les Aigües,Camí Aigües
3600,C,Carrer dels Agudells,Agudells
3701,C,Carrer de les Agudes,Agudes
3803,C,Carrer de l'Àliga,Àliga
3905,C,Carrer d'Aguilar,Aguilar
4001,C,Carrer d'Agullana,Agullana
4103,C,Carrer dels Agullers,Agullers
4125,C,Carrer d'Agustí Duran i Sanpere,A Duran Sanpere
4205,C,Carrer d'Agustí i Milà,Agustí i Milà
4307,C,Carrer d'Agustina Saragossa,Agustina Saragossa
4409,C,Carrer d'Aiguablava,Aiguablava
4500,C,Carrer d'Aiguafreda,Aiguafreda
4602,C,Carrer d'Aigüesmortes,Aigüesmortes
4908,C,Carrer d'Àlaba,Àlaba
5004,C,Carrer de l'Alba,Alba
5106,C,Carrer d'Albacete,Albacete
5208,C,Carrer d'Albània,Albània
